"","Type","Dur","Delta","Sur","Goal"
"400","fronted",0.049187175,-1.379492812,"fronted","info-seeking"
"812","fronted",0.198903905,24.73700565,"fronted","info-seeking"
"727","fronted",0.160069015,-14.87358544,"fronted","info-seeking"
"284","fronted",0.119773937,-37.47743499,"fronted","info-seeking"
"267","fronted",0.050324694,41.07933236,"fronted","info-seeking"
"45","fronted",0.177512559,13.15334879,"fronted","info-seeking"
"182","fronted",0.174880661,-61.22238225,"fronted","info-seeking"
"449","fronted",0.160059179,-38.50603819,"fronted","info-seeking"
"234","fronted",0.223841298,19.81400251,"fronted","info-seeking"
"516","fronted",0.21872719,38.43700123,"fronted","info-seeking"
"417","fronted",0.08532687,11.98704717,"fronted","info-seeking"
"929","content",0.108385605,-15.15418171,"in-situ","info-seeking"
"376","fronted",0.173056972,-5.669466667,"fronted","info-seeking"
"687","fronted",0.189281308,-4.785645156,"fronted","info-seeking"
"165","fronted",0.164109477,47.73306802,"fronted","info-seeking"
"604","fronted",0.119897802,40.43772787,"fronted","info-seeking"
"343","fronted",0.074693401,36.35159842,"fronted","info-seeking"
"629","fronted",0.198842779,23.53816029,"fronted","info-seeking"
"192","fronted",0.199151903,11.08385563,"fronted","info-seeking"
"430","fronted",0.229034839,33.82240571,"fronted","info-seeking"
"320","fronted",0.185773201,-46.97508186,"fronted","info-seeking"
"301","fronted",0.064554761,31.30147112,"fronted","info-seeking"
"29","fronted",0.041730357,10.35441125,"fronted","info-seeking"
"103","fronted",0.08733663,-8.139942917,"fronted","info-seeking"
"617","fronted",0.166686337,15.52838052,"fronted","info-seeking"
"544","fronted",0.129909675,13.18329404,"fronted","info-seeking"
"571","fronted",0.122054047,-33.72443501,"fronted","info-seeking"
"619","fronted",0.075298374,-29.0926829,"fronted","info-seeking"
"520","fronted",0.024634818,101.1052501,"fronted","info-seeking"
"208","fronted",0.182608602,-40.36933356,"fronted","info-seeking"
"443","fronted",0.071918141,44.8717566,"fronted","info-seeking"
"950","echo",0.189445148,35.79793442,"in-situ","clarification"
"308","fronted",0.130559573,-42.11541286,"fronted","info-seeking"
"336","fronted",0.15546756,8.650862446,"fronted","info-seeking"
"772","fronted",0.035573692,-47.12363303,"fronted","info-seeking"
"951","echo",0.279795183,189.4511452,"in-situ","clarification"
"535","fronted",0.136513367,-16.32068073,"fronted","info-seeking"
"531","fronted",0.12452207,34.69255306,"fronted","info-seeking"
"16","fronted",0.122736678,31.20328812,"fronted","info-seeking"
"407","fronted",0.163743954,-42.52156781,"fronted","info-seeking"
"887","content",0.27446128,-42.61407956,"in-situ","info-seeking"
"229","fronted",0.12638569,52.34275516,"fronted","info-seeking"
"132","fronted",0.188632968,-1.84105216,"fronted","info-seeking"
"300","fronted",0.119432588,17.90427901,"fronted","info-seeking"
"784","fronted",0.122352583,0.540738524,"fronted","info-seeking"
"114","fronted",0.114032763,40.90810879,"fronted","info-seeking"
"533","fronted",0.179628551,-1.854090479,"fronted","info-seeking"
"936","content",0.18298529,27.94245883,"in-situ","info-seeking"
"63","fronted",0.182735449,5.514823933,"fronted","info-seeking"
"975","echo",0.262730192,130.2219651,"in-situ","clarification"
"476","fronted",0.064426735,-58.82097013,"fronted","info-seeking"
"622","fronted",0.168631834,-67.68629568,"fronted","info-seeking"
"374","fronted",0.081041301,37.44747533,"fronted","info-seeking"
"991","echo",0.206990568,227.3543964,"in-situ","clarification"
"311","fronted",0.097755949,-14.84806185,"fronted","info-seeking"
"519","fronted",0.123309516,-14.62551891,"fronted","info-seeking"
"713","fronted",0.215542086,-40.389131,"fronted","info-seeking"
"180","fronted",0.059863419,35.52731192,"fronted","info-seeking"
"792","fronted",0.088551537,9.810537685,"fronted","info-seeking"
"597","fronted",0.120486008,22.96827944,"fronted","info-seeking"
"373","fronted",0.116578799,8.950379146,"fronted","info-seeking"
"618","fronted",0.185736085,14.24383473,"fronted","info-seeking"
"178","fronted",0.088995597,-2.316152062,"fronted","info-seeking"
"606","fronted",0.109661757,40.84200508,"fronted","info-seeking"
"504","fronted",0.146299965,-38.79809291,"fronted","info-seeking"
"207","fronted",0.155490601,-43.65223796,"fronted","info-seeking"
"821","fronted",0.130832905,4.711708556,"fronted","info-seeking"
"40","fronted",0.104246469,-23.22410929,"fronted","info-seeking"
"151","fronted",0.110481878,7.313320871,"fronted","info-seeking"
"559","fronted",0.123997374,-31.35615519,"fronted","info-seeking"
"243","fronted",0.217056215,62.39866013,"fronted","info-seeking"
