"","Type","Dur","Delta","Sur","Goal"
"99","fronted",0.086835955,-6.333519841,"fronted","info-seeking"
"183","content",0.183511431,-147.1484375,"in-situ","info-seeking"
"164","fronted",0.150600248,-42.50225072,"fronted","info-seeking"
"43","fronted",0.091470153,62.82516569,"fronted","info-seeking"
"34","fronted",0.129637679,-32.40595096,"fronted","info-seeking"
"126","fronted",0.02346506,-0.05365058,"fronted","info-seeking"
"31","fronted",0.11239892,13.22899288,"fronted","info-seeking"
"176","content",0.062776422,73.07127947,"in-situ","info-seeking"
"2","fronted",0.111436359,26.33658449,"fronted","info-seeking"
"165","fronted",0.089840296,51.62349871,"fronted","info-seeking"
"199","echo",0.141483054,-22.98653299,"in-situ","clarification"
"130","fronted",0.162893581,-15.7516197,"fronted","info-seeking"
"185","content",0.232030085,-77.9687373,"in-situ","info-seeking"
"19","fronted",0.182277066,4.546344865,"fronted","info-seeking"
"179","content",0.403698893,57.34336423,"in-situ","info-seeking"
"16","fronted",0.158288206,-0.609073321,"fronted","info-seeking"
"30","fronted",0.177310891,-5.099327789,"fronted","info-seeking"
"8","fronted",0.025308145,9.834075603,"fronted","info-seeking"
"155","fronted",0.131148499,20.06042501,"fronted","info-seeking"
"123","fronted",0.129812157,15.09038803,"fronted","info-seeking"
"138","fronted",0.124394591,17.23882952,"fronted","info-seeking"
"135","fronted",0.077564304,72.85994431,"fronted","info-seeking"
"132","fronted",0.152752244,-69.81355794,"fronted","info-seeking"
"193","echo",0.22227939,89.25479926,"in-situ","clarification"
"148","fronted",0.052714757,40.16840684,"fronted","info-seeking"
"20","fronted",0.153785384,-3.431503295,"fronted","info-seeking"
"17","fronted",0.101818842,-23.81582293,"fronted","info-seeking"
"14","fronted",0.211969379,-15.03236914,"fronted","info-seeking"
"184","content",0.196086955,-10.66848637,"in-situ","info-seeking"
"196","echo",0.255364056,87.50464578,"in-situ","clarification"
"76","fronted",0.143945962,36.6423093,"fronted","info-seeking"
"15","fronted",0.18634454,48.13391281,"fronted","info-seeking"
"102","fronted",0.096399162,3.270709352,"fronted","info-seeking"
"72","fronted",0.152788515,-35.83984198,"fronted","info-seeking"
"153","fronted",0.135081672,-1.398935899,"fronted","info-seeking"
"78","fronted",0.108799054,68.3043728,"fronted","info-seeking"
"109","fronted",0.076391294,42.62255497,"fronted","info-seeking"
"70","fronted",0.078228632,89.00083435,"fronted","info-seeking"
"110","fronted",0.123869829,41.13243024,"fronted","info-seeking"
"24","fronted",0.036213837,8.879819414,"fronted","info-seeking"
"57","fronted",0.168190256,-26.63097763,"fronted","info-seeking"
"56","fronted",0.16872435,19.10606403,"fronted","info-seeking"
"86","fronted",0.1333063,55.41365257,"fronted","info-seeking"
"80","fronted",0.049730655,24.41592753,"fronted","info-seeking"
"114","fronted",0.124211825,-54.62984905,"fronted","info-seeking"
"4","fronted",0.13520943,21.07724884,"fronted","info-seeking"
"6","fronted",0.170908176,-6.735392996,"fronted","info-seeking"
"85","fronted",0.140843485,29.49216239,"fronted","info-seeking"
"200","echo",0.315090321,181.5834514,"in-situ","clarification"
"159","fronted",0.122999914,71.68744315,"fronted","info-seeking"
"71","fronted",0.123818785,52.73726032,"fronted","info-seeking"
"41","fronted",0.235505207,34.03519613,"fronted","info-seeking"
"115","fronted",0.129210018,-11.48561568,"fronted","info-seeking"
"131","fronted",0.155376633,-59.42909109,"fronted","info-seeking"
"32","fronted",0.116083481,93.04590514,"fronted","info-seeking"
"180","content",0.129867766,-17.46708161,"in-situ","info-seeking"
"149","fronted",0.130830431,23.68665569,"fronted","info-seeking"
"59","fronted",0.099846894,7.674485314,"fronted","info-seeking"
"47","fronted",0.095303312,21.01446039,"fronted","info-seeking"
"93","fronted",0.144263024,-25.95644319,"fronted","info-seeking"
"181","content",0.206183922,102.6885713,"in-situ","info-seeking"
"77","fronted",0.134929113,-5.86812593,"fronted","info-seeking"
"95","fronted",0.101168044,-62.17625141,"fronted","info-seeking"
"46","fronted",0.10614243,7.198296649,"fronted","info-seeking"
"168","content",0.118422039,74.77402658,"in-situ","info-seeking"
"13","fronted",0.107878501,16.88961856,"fronted","info-seeking"
"166","fronted",0.125150941,37.81730628,"fronted","info-seeking"
"45","fronted",0.204568724,51.40275487,"fronted","info-seeking"
"64","fronted",0.051750693,-28.31811242,"fronted","info-seeking"
"89","fronted",0.134704469,21.37509462,"fronted","info-seeking"
"191","echo",0.240663395,89.95441268,"in-situ","clarification"
"112","fronted",0.049803649,17.16654389,"fronted","info-seeking"
"81","fronted",0.182572571,42.44513984,"fronted","info-seeking"
"58","fronted",0.203148291,22.11436767,"fronted","info-seeking"
"167","fronted",0.120665268,-57.65589532,"fronted","info-seeking"
"157","fronted",0.231437971,-7.209695281,"fronted","info-seeking"
"171","content",0.0535191,-24.79924443,"in-situ","info-seeking"
"42","fronted",0.142454455,27.74718835,"fronted","info-seeking"
"158","fronted",0.16040192,-26.95544222,"fronted","info-seeking"
"106","fronted",0.144787703,10.22627426,"fronted","info-seeking"
"96","fronted",0.187746019,16.04229643,"fronted","info-seeking"
"11","fronted",0.050712577,-8.034806899,"fronted","info-seeking"
"101","fronted",0.116596316,72.89945611,"fronted","info-seeking"
"147","fronted",0.218600066,-38.21749649,"fronted","info-seeking"
"118","fronted",0.066453722,-15.37344348,"fronted","info-seeking"
"5","fronted",0.169709386,-0.890289984,"fronted","info-seeking"
"175","content",0.223414679,-107.7314906,"in-situ","info-seeking"
"117","fronted",0.087847817,-28.4994057,"fronted","info-seeking"
"60","fronted",0.154122023,-48.19557833,"fronted","info-seeking"
"178","content",0.245929534,-32.92101357,"in-situ","info-seeking"
"38","fronted",0.134221043,26.74136894,"fronted","info-seeking"
"48","fronted",0.076874868,-20.15223812,"fronted","info-seeking"
"192","echo",0.286869964,166.4098022,"in-situ","clarification"
"156","fronted",0.11045076,2.692373345,"fronted","info-seeking"
"88","fronted",0.18523129,24.49723521,"fronted","info-seeking"
"49","fronted",0.10564718,-1.507420715,"fronted","info-seeking"
"22","fronted",0.07472945,3.697490528,"fronted","info-seeking"
"39","fronted",0.165562093,-78.05041824,"fronted","info-seeking"
"36","fronted",0.081716845,5.824047058,"fronted","info-seeking"
"69","fronted",0.098563832,14.95556806,"fronted","info-seeking"
"50","fronted",0.148772406,20.93907148,"fronted","info-seeking"
"9","fronted",0.143576884,10.48160951,"fronted","info-seeking"
"105","fronted",0.146454031,0.676805554,"fronted","info-seeking"
"170","content",0.156218418,77.63269928,"in-situ","info-seeking"
"90","fronted",0.091142918,84.10670024,"fronted","info-seeking"
"187","echo",0.128347873,64.78737649,"in-situ","clarification"
"162","fronted",0.135370338,-0.035819885,"fronted","info-seeking"
"63","fronted",0.216570655,10.98755595,"fronted","info-seeking"
"198","echo",0.222334608,111.5578123,"in-situ","clarification"
"92","fronted",0.120630933,-39.31879408,"fronted","info-seeking"
"194","echo",0.186248219,83.02877055,"in-situ","clarification"
"139","fronted",0.079859905,27.16844724,"fronted","info-seeking"
"173","content",0.207536894,7.473037791,"in-situ","info-seeking"
"133","fronted",0.116309099,31.63204376,"fronted","info-seeking"
"44","fronted",0.162281752,48.69757827,"fronted","info-seeking"
"55","fronted",0.105643261,2.249212124,"fronted","info-seeking"
"12","fronted",0.199731365,-50.82478974,"fronted","info-seeking"
"177","content",0.320339673,-22.7566032,"in-situ","info-seeking"
"82","fronted",0.12794183,-54.5177379,"fronted","info-seeking"
"142","fronted",0.145389484,19.45659354,"fronted","info-seeking"
"129","fronted",0.148234785,24.44569903,"fronted","info-seeking"
"111","fronted",0.16286941,-33.49456101,"fronted","info-seeking"
"67","fronted",0.08039712,0.305279122,"fronted","info-seeking"
"29","fronted",0.147496898,-0.536084039,"fronted","info-seeking"
"140","fronted",0.083746716,-14.07981786,"fronted","info-seeking"
"84","fronted",0.0996012,-41.78876639,"fronted","info-seeking"
"195","echo",0.335108723,146.4632344,"in-situ","clarification"
"150","fronted",0.077250352,-8.523250134,"fronted","info-seeking"
"182","content",0.199311212,-92.50510263,"in-situ","info-seeking"
"51","fronted",0.164578659,15.95331235,"fronted","info-seeking"
"127","fronted",0.056669799,4.27969104,"fronted","info-seeking"
"62","fronted",0.079281457,20.34032464,"fronted","info-seeking"
"87","fronted",0.082535578,3.323440315,"fronted","info-seeking"
"18","fronted",0.068539666,-18.7247927,"fronted","info-seeking"
"66","fronted",0.111340847,5.624417099,"fronted","info-seeking"
"186","echo",0.341016141,138.5171972,"in-situ","clarification"
"189","echo",0.252574316,68.75806587,"in-situ","clarification"
"98","fronted",0.167455166,-6.249531985,"fronted","info-seeking"
"122","fronted",0.162313443,7.84778336,"fronted","info-seeking"
"161","fronted",0.121073576,51.99220903,"fronted","info-seeking"
"121","fronted",0.160391714,30.07328892,"fronted","info-seeking"
"97","fronted",0.072764772,58.1560396,"fronted","info-seeking"
"79","fronted",0.139080751,33.58073968,"fronted","info-seeking"
"119","fronted",0.20758266,14.62051035,"fronted","info-seeking"
"1","fronted",0.191661744,-23.18286218,"fronted","info-seeking"
"108","fronted",0.083309388,-35.08102843,"fronted","info-seeking"
"103","fronted",0.072011225,-52.1426177,"fronted","info-seeking"
"37","fronted",0.16387281,12.02101097,"fronted","info-seeking"
"3","fronted",0.077740402,32.64249564,"fronted","info-seeking"
"160","fronted",-0.010545231,118.6957884,"fronted","info-seeking"
"68","fronted",0.218244345,-17.15899801,"fronted","info-seeking"
"144","fronted",0.104211955,-40.75700015,"fronted","info-seeking"
"61","fronted",0.12389357,-22.88503071,"fronted","info-seeking"
"23","fronted",0.153379854,2.066704555,"fronted","info-seeking"
"136","fronted",0.203711636,-49.34313483,"fronted","info-seeking"
"100","fronted",0.107254331,-11.5226674,"fronted","info-seeking"
"33","fronted",0.08442941,24.54720351,"fronted","info-seeking"
"65","fronted",0.181661425,-50.43485906,"fronted","info-seeking"
"172","content",0.34730305,-32.37731069,"in-situ","info-seeking"
"26","fronted",0.100117107,44.76991724,"fronted","info-seeking"
"125","fronted",0.109032164,-3.616482795,"fronted","info-seeking"
"75","fronted",0.106156065,36.50331109,"fronted","info-seeking"
"7","fronted",0.008312091,-6.546925624,"fronted","info-seeking"
"128","fronted",0.136406203,-29.73659586,"fronted","info-seeking"
"107","fronted",0.191180793,12.02433522,"fronted","info-seeking"
"52","fronted",0.172318253,-18.55850926,"fronted","info-seeking"
"152","fronted",0.083830181,11.2762538,"fronted","info-seeking"
"188","echo",0.23109478,153.962527,"in-situ","clarification"
"174","content",0.247379359,22.62462824,"in-situ","info-seeking"
