"","Type","Dur","Delta","Sur","Goal"
"122","fronted",0.12553351,17.59281169,"fronted","info-seeking"
"297","fronted",0.171766433,6.888498566,"fronted","info-seeking"
"551","content",0.269204475,-66.02658636,"in-situ","info-seeking"
"434","fronted",0.217303532,-55.20742201,"fronted","info-seeking"
"354","fronted",0.155622337,5.508146941,"fronted","info-seeking"
"299","fronted",0.053898314,-56.53592165,"fronted","info-seeking"
"284","fronted",0.053773827,40.43581694,"fronted","info-seeking"
"585","echo",0.251986988,124.2446471,"in-situ","clarification"
"187","fronted",0.122246219,-49.16702229,"fronted","info-seeking"
"252","fronted",0.160894697,-27.88497413,"fronted","info-seeking"
"21","fronted",0.104571292,9.021134062,"fronted","info-seeking"
"497","fronted",0.110446699,-9.792579371,"fronted","info-seeking"
"416","fronted",0.119213618,17.10155579,"fronted","info-seeking"
"218","fronted",0.083927581,31.08251459,"fronted","info-seeking"
"256","fronted",0.143554978,0.390063476,"fronted","info-seeking"
"348","fronted",0.130152329,18.80800597,"fronted","info-seeking"
"148","fronted",0.183091453,-10.31584071,"fronted","info-seeking"
"162","fronted",0.080589481,-8.525200402,"fronted","info-seeking"
"408","fronted",0.156574659,-26.88396223,"fronted","info-seeking"
"554","content",0.228112551,-38.59337164,"in-situ","info-seeking"
"77","fronted",0.129066697,-39.25112273,"fronted","info-seeking"
"130","fronted",0.16662436,24.62086177,"fronted","info-seeking"
"517","content",0.291493905,25.85225542,"in-situ","info-seeking"
"82","fronted",0.09076821,-10.94986251,"fronted","info-seeking"
"472","fronted",0.158762512,-35.63364487,"fronted","info-seeking"
"119","fronted",0.090904855,6.471837724,"fronted","info-seeking"
"272","fronted",0.073381098,-33.3543033,"fronted","info-seeking"
"518","content",0.198172469,-21.58548277,"in-situ","info-seeking"
"127","fronted",0.127212661,0.289362196,"fronted","info-seeking"
"369","fronted",0.102545413,-9.758178477,"fronted","info-seeking"
"482","fronted",0.03081581,-25.10336717,"fronted","info-seeking"
"33","fronted",0.136515478,-35.29577006,"fronted","info-seeking"
"139","fronted",0.13325197,-42.95171266,"fronted","info-seeking"
"380","fronted",0.082207891,52.43567568,"fronted","info-seeking"
"231","fronted",0.08741799,14.68226588,"fronted","info-seeking"
"492","fronted",-0.010869084,36.62229777,"fronted","info-seeking"
"307","fronted",0.122193012,-37.86658511,"fronted","info-seeking"
"69","fronted",0.055940714,45.28240926,"fronted","info-seeking"
"550","content",0.148707181,22.41186589,"in-situ","info-seeking"
"528","content",0.184765784,8.079966551,"in-situ","info-seeking"
"480","fronted",0.113294458,17.02429612,"fronted","info-seeking"
"37","fronted",0.168151442,23.00518091,"fronted","info-seeking"
"584","echo",0.304009979,136.8640808,"in-situ","clarification"
"573","echo",0.318616241,161.6854573,"in-situ","clarification"
"124","fronted",0.114270456,-19.14156491,"fronted","info-seeking"
"359","fronted",0.121712695,28.48699236,"fronted","info-seeking"
"351","fronted",0.116233177,44.01971575,"fronted","info-seeking"
"477","fronted",0.020467567,30.55551043,"fronted","info-seeking"
"524","content",0.259156629,-66.17702091,"in-situ","info-seeking"
"185","fronted",0.13504374,0.342678039,"fronted","info-seeking"
"186","fronted",0.090783199,39.66305971,"fronted","info-seeking"
"346","fronted",0.086628181,-14.51102165,"fronted","info-seeking"
"242","fronted",0.144102345,-14.58897668,"fronted","info-seeking"
"559","content",0.239480025,-120.9421847,"in-situ","info-seeking"
"337","fronted",0.149832684,-7.417179322,"fronted","info-seeking"
"112","fronted",0.032327234,-33.42620364,"fronted","info-seeking"
"334","fronted",0.111931294,-30.48371653,"fronted","info-seeking"
"156","fronted",0.128020836,37.94512856,"fronted","info-seeking"
"36","fronted",0.095797963,-19.20530293,"fronted","info-seeking"
"281","fronted",0.086047091,10.60565445,"fronted","info-seeking"
"382","fronted",0.020923029,23.15208422,"fronted","info-seeking"
"75","fronted",0.240580079,-26.81310674,"fronted","info-seeking"
"455","fronted",0.08883165,-27.96763798,"fronted","info-seeking"
"361","fronted",0.084420287,7.220285167,"fronted","info-seeking"
"488","fronted",0.220581096,-8.991684816,"fronted","info-seeking"
"131","fronted",0.138242043,-13.43826897,"fronted","info-seeking"
"479","fronted",0.172366032,-28.05436963,"fronted","info-seeking"
"288","fronted",0.084409355,90.06874664,"fronted","info-seeking"
"302","fronted",0.159892066,6.90801824,"fronted","info-seeking"
"25","fronted",0.096598159,-81.05330092,"fronted","info-seeking"
"461","fronted",0.056121449,-9.951771269,"fronted","info-seeking"
"27","fronted",0.09473143,-3.636284831,"fronted","info-seeking"
"245","fronted",0.154273276,11.17331215,"fronted","info-seeking"
"2","fronted",0.157153767,17.75975416,"fronted","info-seeking"
"376","fronted",0.129782583,-2.951324054,"fronted","info-seeking"
"1","fronted",0.159354812,5.930075429,"fronted","info-seeking"
"178","fronted",0.086710112,-14.54785838,"fronted","info-seeking"
"121","fronted",0.167533039,8.103989433,"fronted","info-seeking"
