"","Type","Dur","Delta","Sur","Goal"
"489","fronted",0.15309769,-30.93650168,"fronted","info-seeking"
"613","fronted",0.173442761,70.90330374,"fronted","info-seeking"
"979","fronted",0.105222726,7.308882067,"fronted","info-seeking"
"138","fronted",0.054166039,72.56172949,"fronted","info-seeking"
"510","fronted",0.105742343,-1.366571431,"fronted","info-seeking"
"963","fronted",0.20394389,-40.87401193,"fronted","info-seeking"
"1355","echo",0.242179015,150.3023038,"in-situ","clarification"
"238","fronted",0.011530094,48.95805097,"fronted","info-seeking"
"800","fronted",0.066147599,-35.17318062,"fronted","info-seeking"
"549","fronted",0.081304121,29.76191766,"fronted","info-seeking"
"1182","fronted",0.133964947,50.58408103,"fronted","info-seeking"
"1235","content",0.128223847,-156.7525496,"in-situ","info-seeking"
"1040","fronted",0.155789584,43.54416114,"fronted","info-seeking"
"701","fronted",0.068859975,-9.578384659,"fronted","info-seeking"
"533","fronted",0.048383411,35.84313871,"fronted","info-seeking"
"1276","content",0.220247694,-26.21681342,"in-situ","info-seeking"
"496","fronted",0.160526723,-60.33299391,"fronted","info-seeking"
"98","fronted",0.0960245,69.41873098,"fronted","info-seeking"
"311","fronted",0.105569073,45.39719619,"fronted","info-seeking"
"1364","echo",0.32926447,196.3141053,"in-situ","clarification"
"86","fronted",0.160354638,-32.47963373,"fronted","info-seeking"
"131","fronted",0.129184056,-7.110258944,"fronted","info-seeking"
"898","fronted",0.153223454,34.96440408,"fronted","info-seeking"
"475","fronted",0.068193101,-10.14396338,"fronted","info-seeking"
"1389","echo",0.341996318,113.9170616,"in-situ","clarification"
"479","fronted",0.122043397,43.8243659,"fronted","info-seeking"
"1170","fronted",0.088865336,32.99708024,"fronted","info-seeking"
"588","fronted",0.156113021,-15.03326634,"fronted","info-seeking"
"878","fronted",0.202975842,51.4253712,"fronted","info-seeking"
"45","fronted",0.037957868,-35.01593057,"fronted","info-seeking"
"955","fronted",0.081835223,41.9974619,"fronted","info-seeking"
"519","fronted",0.159989109,56.19627641,"fronted","info-seeking"
"616","fronted",0.074304655,45.77996022,"fronted","info-seeking"
"1397","echo",0.194820988,15.08110245,"in-situ","clarification"
"550","fronted",0.090994258,-68.53390661,"fronted","info-seeking"
"1163","fronted",0.130859794,-9.046803336,"fronted","info-seeking"
"745","fronted",0.140328631,63.80596069,"fronted","info-seeking"
"254","fronted",0.080475265,5.478797669,"fronted","info-seeking"
"276","fronted",0.137483931,50.49382604,"fronted","info-seeking"
"419","fronted",0.09607149,-28.9690932,"fronted","info-seeking"
"1346","echo",0.284773959,112.3139389,"in-situ","clarification"
"120","fronted",0.250286503,-6.364731733,"fronted","info-seeking"
"633","fronted",0.119930106,10.00535468,"fronted","info-seeking"
"697","fronted",0.105480488,-10.19466287,"fronted","info-seeking"
"203","fronted",0.217127216,5.532592846,"fronted","info-seeking"
"384","fronted",0.078607711,-50.7254765,"fronted","info-seeking"
"526","fronted",0.193723536,-71.36895778,"fronted","info-seeking"
"825","fronted",0.101565064,-70.69143984,"fronted","info-seeking"
"1116","fronted",0.126939609,64.43408857,"fronted","info-seeking"
"1253","content",0.100890657,-125.7361114,"in-situ","info-seeking"
"863","fronted",0.052999684,-38.05430831,"fronted","info-seeking"
"1","fronted",0.082793736,-6.892598954,"fronted","info-seeking"
"597","fronted",0.224568708,-39.92400044,"fronted","info-seeking"
"1267","content",0.193999138,-94.51466693,"in-situ","info-seeking"
"1372","echo",0.273111463,84.48423943,"in-situ","clarification"
"1387","echo",0.156360074,67.02944327,"in-situ","clarification"
"1353","echo",0.320356736,120.5555564,"in-situ","clarification"
"133","fronted",0.043139008,28.21638107,"fronted","info-seeking"
"413","fronted",0.116590318,67.6639587,"fronted","info-seeking"
"1186","content",0.113412885,-59.28350156,"in-situ","info-seeking"
"1240","content",0.24432638,13.45322114,"in-situ","info-seeking"
"234","fronted",0.056902324,24.89060738,"fronted","info-seeking"
"657","fronted",0.165919157,-6.576840331,"fronted","info-seeking"
"1073","fronted",0.105828647,16.51474235,"fronted","info-seeking"
"242","fronted",0.188734765,-47.33904149,"fronted","info-seeking"
"1360","echo",0.199850111,87.97205568,"in-situ","clarification"
"773","fronted",0.064677398,16.98260135,"fronted","info-seeking"
"286","fronted",0.162115933,-11.32886231,"fronted","info-seeking"
"1097","fronted",0.268244426,-17.36032638,"fronted","info-seeking"
"855","fronted",0.183921401,10.88182251,"fronted","info-seeking"
"1184","fronted",0.119873996,50.4619215,"fronted","info-seeking"
"227","fronted",0.111932977,26.41392042,"fronted","info-seeking"
"829","fronted",0.014028429,-2.249488008,"fronted","info-seeking"
"267","fronted",0.084414127,-15.23293914,"fronted","info-seeking"
"507","fronted",0.17788765,20.04266489,"fronted","info-seeking"
