"","Type","Dur","Delta","Sur","Goal"
"340","fronted",0.195466202,4.154152243,"fronted","info-seeking"
"924","fronted",0.08796164,9.056615512,"fronted","info-seeking"
"389","fronted",0.119525199,23.03423136,"fronted","info-seeking"
"1183","echo",0.201218659,67.75169977,"in-situ","clarification"
"860","fronted",0.095077371,29.30025126,"fronted","info-seeking"
"27","fronted",0.114086321,-23.46304764,"fronted","info-seeking"
"1037","content",0.269402647,38.59522343,"in-situ","info-seeking"
"1062","content",0.251455907,-0.851003439,"in-situ","info-seeking"
"459","fronted",0.041552968,-14.26420865,"fronted","info-seeking"
"789","fronted",0.11188069,1.304458777,"fronted","info-seeking"
"688","fronted",0.173980996,4.774911147,"fronted","info-seeking"
"1006","fronted",0.145527693,2.549840414,"fronted","info-seeking"
"408","fronted",0.049882921,-24.62868279,"fronted","info-seeking"
"634","fronted",0.087658124,22.93973948,"fronted","info-seeking"
"311","fronted",0.142490796,-23.59551416,"fronted","info-seeking"
"1130","echo",0.297397926,94.90688091,"in-situ","clarification"
"937","fronted",0.132540769,16.45640511,"fronted","info-seeking"
"813","fronted",0.080011355,33.5322356,"fronted","info-seeking"
"308","fronted",0.163479033,12.37695668,"fronted","info-seeking"
"845","fronted",0.094059685,49.99807718,"fronted","info-seeking"
"1000","fronted",0.154462417,-40.62070813,"fronted","info-seeking"
"926","fronted",0.104631362,40.96276499,"fronted","info-seeking"
"1015","fronted",0.156428018,32.64668401,"fronted","info-seeking"
"418","fronted",0.057701209,5.557703296,"fronted","info-seeking"
"1187","echo",0.244903323,48.04559547,"in-situ","clarification"
"986","fronted",0.063823607,31.76790555,"fronted","info-seeking"
"769","fronted",0.098257683,-15.95820313,"fronted","info-seeking"
"982","fronted",0.073243078,27.59683634,"fronted","info-seeking"
"995","fronted",0.246052297,58.98393038,"fronted","info-seeking"
"1188","echo",0.182123916,92.45838067,"in-situ","clarification"
"645","fronted",0.136189588,-37.53323857,"fronted","info-seeking"
"854","fronted",0.069376385,-4.040020681,"fronted","info-seeking"
"31","fronted",0.193091494,-13.05330171,"fronted","info-seeking"
"102","fronted",0.011283313,0.102928132,"fronted","info-seeking"
"1166","echo",0.326406017,179.3673635,"in-situ","clarification"
"700","fronted",0.106535655,11.24537074,"fronted","info-seeking"
"1147","echo",0.252498759,125.1816665,"in-situ","clarification"
"809","fronted",0.159230566,-3.905095372,"fronted","info-seeking"
"952","fronted",0.13679262,-0.228079134,"fronted","info-seeking"
"1181","echo",0.194622295,142.2745981,"in-situ","clarification"
"28","fronted",0.112659326,-6.098537622,"fronted","info-seeking"
"936","fronted",0.178360138,-45.0095013,"fronted","info-seeking"
"710","fronted",0.094769041,0.957977064,"fronted","info-seeking"
"823","fronted",0.082399441,-45.74625695,"fronted","info-seeking"
"622","fronted",0.138586398,11.50558939,"fronted","info-seeking"
"649","fronted",0.086976171,-35.26443818,"fronted","info-seeking"
"1143","echo",0.185594346,95.55301992,"in-situ","clarification"
"129","fronted",0.131412035,-24.47465107,"fronted","info-seeking"
"323","fronted",0.080749286,-15.40104313,"fronted","info-seeking"
"1029","content",0.122599871,-11.82294605,"in-situ","info-seeking"
"1156","echo",0.287744439,128.4070258,"in-situ","clarification"
"599","fronted",0.194359548,55.26758508,"fronted","info-seeking"
"819","fronted",0.056687657,28.71676647,"fronted","info-seeking"
"203","fronted",0.145616818,25.70840368,"fronted","info-seeking"
"6","fronted",0.068767384,44.98298277,"fronted","info-seeking"
"646","fronted",0.179763565,17.64813423,"fronted","info-seeking"
"37","fronted",0.100504296,-0.211075513,"fronted","info-seeking"
"1176","echo",0.262502128,167.9432279,"in-situ","clarification"
"380","fronted",0.191350087,-28.43853368,"fronted","info-seeking"
"978","fronted",0.097246675,38.12838404,"fronted","info-seeking"
"491","fronted",0.085763323,-8.231310946,"fronted","info-seeking"
"682","fronted",0.146234464,-2.112096608,"fronted","info-seeking"
"1186","echo",0.28345694,116.4664107,"in-situ","clarification"
"549","fronted",0.156288288,-67.35459575,"fronted","info-seeking"
"554","fronted",0.017697772,48.32678369,"fronted","info-seeking"
"581","fronted",0.108893044,35.39748788,"fronted","info-seeking"
"530","fronted",0.075498519,17.63278583,"fronted","info-seeking"
"7","fronted",0.203214524,14.15329257,"fronted","info-seeking"
"333","fronted",0.114203356,21.96206538,"fronted","info-seeking"
"925","fronted",0.055113423,27.33258167,"fronted","info-seeking"
"115","fronted",0.112749809,-20.48301439,"fronted","info-seeking"
"526","fronted",0.168968072,18.33481789,"fronted","info-seeking"
"377","fronted",0.069917779,41.96212548,"fronted","info-seeking"
"33","fronted",0.16731548,29.14070412,"fronted","info-seeking"
"192","fronted",0.07038014,28.31344842,"fronted","info-seeking"
"915","fronted",0.241736371,1.027409047,"fronted","info-seeking"
"124","fronted",0.055775133,60.20848435,"fronted","info-seeking"
"168","fronted",0.026056588,2.198354058,"fronted","info-seeking"
"1191","echo",0.23950015,47.12173187,"in-situ","clarification"
"615","fronted",0.210611753,25.76023855,"fronted","info-seeking"
"1090","content",0.304798878,-12.84894575,"in-situ","info-seeking"
"932","fronted",0.057888261,-2.691020032,"fronted","info-seeking"
"193","fronted",0.122807422,-60.27685117,"fronted","info-seeking"
"1117","content",0.328103735,-68.92000289,"in-situ","info-seeking"
"836","fronted",0.095474028,29.41577273,"fronted","info-seeking"
"693","fronted",-0.012471415,12.12824158,"fronted","info-seeking"
"934","fronted",0.070543672,-25.73313469,"fronted","info-seeking"
"786","fronted",0.208414338,-25.42562929,"fronted","info-seeking"
"974","fronted",0.167418787,33.5251323,"fronted","info-seeking"
"1083","content",0.196369657,-72.36203745,"in-situ","info-seeking"
"105","fronted",0.130168003,-37.77762795,"fronted","info-seeking"
"690","fronted",0.160491173,-28.89185929,"fronted","info-seeking"
"749","fronted",0.118963352,52.12589832,"fronted","info-seeking"
"585","fronted",0.085265852,4.763533795,"fronted","info-seeking"
"356","fronted",0.156741353,-3.217389652,"fronted","info-seeking"
"456","fronted",0.106982705,-10.16420709,"fronted","info-seeking"
"638","fronted",0.036093079,13.14091941,"fronted","info-seeking"
"395","fronted",0.136290907,50.56318509,"fronted","info-seeking"
"731","fronted",0.120727865,-13.92054673,"fronted","info-seeking"
"631","fronted",0.134157125,-15.01999886,"fronted","info-seeking"
"67","fronted",0.177033839,-12.24504956,"fronted","info-seeking"
"532","fronted",0.071896703,-20.24571222,"fronted","info-seeking"
"1079","content",0.160601585,-42.01762512,"in-situ","info-seeking"
"209","fronted",0.148491193,32.20182278,"fronted","info-seeking"
"386","fronted",0.086673842,36.6319292,"fronted","info-seeking"
"463","fronted",0.090793919,1.173325588,"fronted","info-seeking"
"146","fronted",0.131814781,-5.068851666,"fronted","info-seeking"
"1042","content",0.032609388,-87.33471386,"in-situ","info-seeking"
"1056","content",0.299606246,11.4917297,"in-situ","info-seeking"
"440","fronted",0.171368232,-77.5383676,"fronted","info-seeking"
"291","fronted",0.205859479,-29.82553649,"fronted","info-seeking"
"488","fronted",0.087512199,27.79700976,"fronted","info-seeking"
"522","fronted",0.161234521,33.54796111,"fronted","info-seeking"
"659","fronted",0.122549571,33.99297686,"fronted","info-seeking"
"87","fronted",0.125827801,-54.76253014,"fronted","info-seeking"
"199","fronted",0.144104836,9.787676702,"fronted","info-seeking"
"72","fronted",0.1144546,5.087806853,"fronted","info-seeking"
"1005","fronted",0.101823606,-28.16598741,"fronted","info-seeking"
"432","fronted",0.153812137,32.75114354,"fronted","info-seeking"
"1097","content",0.188411444,-29.10308549,"in-situ","info-seeking"
"977","fronted",0.130295001,1.110657349,"fronted","info-seeking"
"787","fronted",0.143849711,13.95845502,"fronted","info-seeking"
"401","fronted",0.164076623,37.37057268,"fronted","info-seeking"
"763","fronted",0.05651562,1.045749066,"fronted","info-seeking"
"265","fronted",0.075700654,24.85787725,"fronted","info-seeking"
"267","fronted",0.076630065,-21.69399928,"fronted","info-seeking"
"630","fronted",0.166517539,-32.72841675,"fronted","info-seeking"
"1081","content",0.255207987,-130.4947033,"in-situ","info-seeking"
"451","fronted",0.1549736,20.57332045,"fronted","info-seeking"
"938","fronted",0.16168716,-38.36795025,"fronted","info-seeking"
"184","fronted",0.11474498,-24.19556882,"fronted","info-seeking"
"383","fronted",0.165428646,33.39948402,"fronted","info-seeking"
"1109","content",0.296274791,-108.9778129,"in-situ","info-seeking"
"206","fronted",0.09889156,-41.07502708,"fronted","info-seeking"
"428","fronted",0.206700017,21.43218647,"fronted","info-seeking"
"959","fronted",0.18393084,25.15682746,"fronted","info-seeking"
"579","fronted",0.13932724,12.39240046,"fronted","info-seeking"
"1086","content",0.339377425,-70.37042759,"in-situ","info-seeking"
"304","fronted",0.100582556,8.652145074,"fronted","info-seeking"
"142","fronted",0.141425171,12.88660305,"fronted","info-seeking"
"1127","echo",0.306847647,116.019055,"in-situ","clarification"
"134","fronted",0.03630199,26.55888873,"fronted","info-seeking"
"1198","echo",0.276205691,156.4415352,"in-situ","clarification"
"1145","echo",0.233753728,78.93227944,"in-situ","clarification"
"371","fronted",0.013196675,7.403287791,"fronted","info-seeking"
"264","fronted",0.155219088,17.54048338,"fronted","info-seeking"
"1168","echo",0.343296969,182.7056931,"in-situ","clarification"
"553","fronted",0.189433343,25.04543579,"fronted","info-seeking"
"650","fronted",0.035196511,-19.45696833,"fronted","info-seeking"
"38","fronted",0.066824928,50.13824236,"fronted","info-seeking"
"1012","fronted",0.074161016,58.54279833,"fronted","info-seeking"
"912","fronted",0.118474247,-8.791306535,"fronted","info-seeking"
"251","fronted",0.081053283,20.41664339,"fronted","info-seeking"
"1120","echo",0.200563476,72.90550645,"in-situ","clarification"
"256","fronted",0.098848526,59.58998438,"fronted","info-seeking"
"608","fronted",0.161322919,-34.20342619,"fronted","info-seeking"
"269","fronted",0.103523767,-57.05389663,"fronted","info-seeking"
"623","fronted",0.143469129,63.71643357,"fronted","info-seeking"
"349","fronted",0.099938012,14.92420196,"fronted","info-seeking"
"640","fronted",0.049824093,-27.44920173,"fronted","info-seeking"
"679","fronted",0.129014258,12.01482159,"fronted","info-seeking"
"896","fronted",0.123622466,28.71415614,"fronted","info-seeking"
"717","fronted",0.095461251,79.56678608,"fronted","info-seeking"
"905","fronted",0.025569618,37.86269796,"fronted","info-seeking"
"218","fronted",0.172205152,-30.5438452,"fronted","info-seeking"
"458","fronted",0.114612591,-58.17928586,"fronted","info-seeking"
"358","fronted",0.15636837,39.62979921,"fronted","info-seeking"
"1159","echo",0.231232403,77.36643699,"in-situ","clarification"
"326","fronted",0.1449054,24.12981471,"fronted","info-seeking"
"171","fronted",0.13518202,15.08832491,"fronted","info-seeking"
"378","fronted",0.076616978,24.00965943,"fronted","info-seeking"
"564","fronted",0.156566631,50.12150954,"fronted","info-seeking"
"36","fronted",0.194835034,0.299892976,"fronted","info-seeking"
"329","fronted",0.073651395,10.22978948,"fronted","info-seeking"
"160","fronted",0.082412408,83.11569993,"fronted","info-seeking"
"510","fronted",0.126034312,-50.72113858,"fronted","info-seeking"
"1084","content",0.279610244,-29.72467314,"in-situ","info-seeking"
"410","fronted",0.145090115,-1.943409076,"fronted","info-seeking"
"848","fronted",0.196649278,3.639271186,"fronted","info-seeking"
"669","fronted",0.144253203,30.75250104,"fronted","info-seeking"
"436","fronted",0.193712588,26.70209339,"fronted","info-seeking"
"857","fronted",0.129342997,-19.87701377,"fronted","info-seeking"
"699","fronted",0.034911847,-10.50856595,"fronted","info-seeking"
"810","fronted",0.196852406,-49.81908982,"fronted","info-seeking"
"798","fronted",0.067282319,45.00005177,"fronted","info-seeking"
"457","fronted",0.109711181,54.39156059,"fronted","info-seeking"
"724","fronted",0.08648566,-25.36159676,"fronted","info-seeking"
"53","fronted",0.19825793,15.06172193,"fronted","info-seeking"
"447","fronted",0.125870707,-5.321018433,"fronted","info-seeking"
"716","fronted",0.030536538,52.67658047,"fronted","info-seeking"
"237","fronted",0.158511721,-28.27050612,"fronted","info-seeking"
"416","fronted",0.203034148,-56.25698048,"fronted","info-seeking"
"293","fronted",0.127543024,7.804942184,"fronted","info-seeking"
"877","fronted",0.169393667,-16.54320013,"fronted","info-seeking"
"423","fronted",0.051349135,14.63224173,"fronted","info-seeking"
"1091","content",0.323178688,-139.9090265,"in-situ","info-seeking"
"257","fronted",0.115184332,-49.99548423,"fronted","info-seeking"
"1158","echo",0.328000176,240.601582,"in-situ","clarification"
"122","fronted",0.080951062,-15.67025986,"fronted","info-seeking"
"392","fronted",0.129980102,-28.2240203,"fronted","info-seeking"
