"","Type","Dur","Delta","Sur","Goal"
"120","fronted",0.076973417,9.20226419,"fronted","info-seeking"
"768","echo",0.248012695,106.1551987,"in-situ","clarification"
"739","content",0.242260284,71.71950507,"in-situ","info-seeking"
"371","fronted",0.203049877,-0.414305275,"fronted","info-seeking"
"775","echo",0.236917035,40.0597983,"in-situ","clarification"
"401","fronted",0.142704681,-64.61957783,"fronted","info-seeking"
"325","fronted",0.022734038,6.458587062,"fronted","info-seeking"
"210","fronted",0.121258665,-2.155124295,"fronted","info-seeking"
"615","fronted",0.083653293,41.59642818,"fronted","info-seeking"
"235","fronted",0.133797235,3.892479652,"fronted","info-seeking"
"53","fronted",0.029751597,67.09145305,"fronted","info-seeking"
"315","fronted",0.121372457,-19.83491334,"fronted","info-seeking"
"387","fronted",0.056895532,38.74064296,"fronted","info-seeking"
"208","fronted",0.132996508,-52.51602342,"fronted","info-seeking"
"110","fronted",0.119105623,47.69819584,"fronted","info-seeking"
"451","fronted",0.086034332,-20.97394802,"fronted","info-seeking"
"190","fronted",0.121925201,-37.66315791,"fronted","info-seeking"
"644","fronted",0.143697157,-14.7986505,"fronted","info-seeking"
"61","fronted",0.111584077,-50.18763003,"fronted","info-seeking"
"6","fronted",0.178669539,15.61430631,"fronted","info-seeking"
"777","echo",0.229286973,173.5153388,"in-situ","clarification"
"45","fronted",0.118969972,-32.62746381,"fronted","info-seeking"
"262","fronted",0.078753445,-67.83116422,"fronted","info-seeking"
"329","fronted",0.058106473,-31.55367556,"fronted","info-seeking"
"701","content",0.091837032,-29.55107705,"in-situ","info-seeking"
"319","fronted",0.201863157,-4.768768556,"fronted","info-seeking"
"651","fronted",0.173168505,-19.86583611,"fronted","info-seeking"
"730","content",0.170061443,17.27042997,"in-situ","info-seeking"
"121","fronted",0.169872492,59.84960798,"fronted","info-seeking"
"459","fronted",0.179544844,51.09109372,"fronted","info-seeking"
"169","fronted",0.246625412,-57.55923278,"fronted","info-seeking"
"331","fronted",0.155973104,-1.639687787,"fronted","info-seeking"
"563","fronted",0.140283931,42.35641414,"fronted","info-seeking"
"97","fronted",0.112266856,-5.207039952,"fronted","info-seeking"
"472","fronted",0.130850036,7.493091429,"fronted","info-seeking"
"734","content",0.121306381,92.52809824,"in-situ","info-seeking"
"87","fronted",0.154660752,20.69472662,"fronted","info-seeking"
"785","echo",0.172951175,93.06223928,"in-situ","clarification"
"113","fronted",-0.015980055,4.500305471,"fronted","info-seeking"
"438","fronted",0.043284037,-1.219031405,"fronted","info-seeking"
"300","fronted",0.096309507,97.3356055,"fronted","info-seeking"
"624","fronted",0.091633214,7.159787472,"fronted","info-seeking"
"116","fronted",0.141116466,-14.61117175,"fronted","info-seeking"
"306","fronted",0.057458717,23.30805711,"fronted","info-seeking"
"309","fronted",0.079899662,14.47174861,"fronted","info-seeking"
"197","fronted",0.105058074,26.74632066,"fronted","info-seeking"
"490","fronted",0.050547156,-16.14419705,"fronted","info-seeking"
"153","fronted",0.06352516,0.139720322,"fronted","info-seeking"
"355","fronted",0.208768889,60.7465665,"fronted","info-seeking"
"584","fronted",0.172290238,-76.0324828,"fronted","info-seeking"
"132","fronted",0.131196993,-70.53169066,"fronted","info-seeking"
"64","fronted",0.118806124,-55.81098842,"fronted","info-seeking"
"736","content",0.274443848,-107.2578023,"in-situ","info-seeking"
"178","fronted",0.128670889,-5.477833315,"fronted","info-seeking"
"778","echo",0.278304584,64.71305177,"in-situ","clarification"
"46","fronted",0.067901635,-0.288035634,"fronted","info-seeking"
"482","fronted",0.132572813,-32.82550546,"fronted","info-seeking"
"114","fronted",0.143875512,-48.45331784,"fronted","info-seeking"
"724","content",0.241508058,-40.56358966,"in-situ","info-seeking"
"755","echo",0.251914809,134.6536904,"in-situ","clarification"
"658","fronted",0.140219234,-18.21650299,"fronted","info-seeking"
"304","fronted",0.112672526,19.56310006,"fronted","info-seeking"
"16","fronted",0.053332945,6.789213355,"fronted","info-seeking"
"34","fronted",0.181066507,-23.98004762,"fronted","info-seeking"
"493","fronted",0.112548691,-3.53802415,"fronted","info-seeking"
"694","content",0.131874359,-28.5727687,"in-situ","info-seeking"
"593","fronted",0.159371068,19.5141396,"fronted","info-seeking"
"488","fronted",0.084359645,31.69332154,"fronted","info-seeking"
"470","fronted",0.234487417,-0.714016596,"fronted","info-seeking"
"665","fronted",0.076830003,41.03347081,"fronted","info-seeking"
"367","fronted",0.09153059,12.00512618,"fronted","info-seeking"
"406","fronted",0.095353863,36.49233477,"fronted","info-seeking"
"222","fronted",0.132644578,-20.38995244,"fronted","info-seeking"
"636","fronted",0.071756734,-20.78441664,"fronted","info-seeking"
"477","fronted",0.160314812,-10.56472598,"fronted","info-seeking"
"245","fronted",0.092994111,-22.10881822,"fronted","info-seeking"
"715","content",0.101936564,46.95214348,"in-situ","info-seeking"
"463","fronted",0.121088753,47.65722005,"fronted","info-seeking"
"520","fronted",0.201336327,-47.36737061,"fronted","info-seeking"
"792","echo",0.268734184,124.0297527,"in-situ","clarification"
"497","fronted",0.053841158,42.74307642,"fronted","info-seeking"
"716","content",0.247626204,76.30627606,"in-situ","info-seeking"
"466","fronted",0.149330688,3.78795584,"fronted","info-seeking"
"448","fronted",0.003375827,-8.454488243,"fronted","info-seeking"
"483","fronted",0.149694144,-19.22357644,"fronted","info-seeking"
"548","fronted",0.189352683,32.89147037,"fronted","info-seeking"
