"","Type","Dur","Delta","Sur","Goal"
"944","fronted",0.114157462,-39.23648256,"fronted","info-seeking"
"167","fronted",0.191942094,-11.1543503,"fronted","info-seeking"
"934","fronted",0.177515739,-57.48605995,"fronted","info-seeking"
"414","fronted",0.176343298,-15.98203262,"fronted","info-seeking"
"315","fronted",0.113925316,3.316380143,"fronted","info-seeking"
"1711","echo",0.236879196,104.9320402,"in-situ","clarification"
"737","fronted",0.052888499,-5.60753753,"fronted","info-seeking"
"1351","fronted",0.046484344,82.79598657,"fronted","info-seeking"
"1415","fronted",0.195073932,20.44342696,"fronted","info-seeking"
"1182","fronted",-0.042065242,-10.1540195,"fronted","info-seeking"
"614","fronted",0.119556199,-13.47081307,"fronted","info-seeking"
"830","fronted",0.022213355,22.35848184,"fronted","info-seeking"
"932","fronted",0.190087679,51.20733397,"fronted","info-seeking"
"1257","fronted",0.27806749,-68.90686,"fronted","info-seeking"
"340","fronted",0.150987305,-57.57717352,"fronted","info-seeking"
"1183","fronted",0.005291438,-39.62452807,"fronted","info-seeking"
"1519","fronted",0.094845128,0.036141863,"fronted","info-seeking"
"1646","content",0.293834446,-38.18929942,"in-situ","info-seeking"
"987","fronted",0.173065891,9.54523715,"fronted","info-seeking"
"1792","echo",0.223107159,137.9126469,"in-situ","clarification"
"379","fronted",0.120306895,16.66707467,"fronted","info-seeking"
"768","fronted",0.148738399,38.60579068,"fronted","info-seeking"
"290","fronted",0.117639742,-43.57968157,"fronted","info-seeking"
"1168","fronted",0.185252677,-8.144869604,"fronted","info-seeking"
"587","fronted",0.118555091,20.52663367,"fronted","info-seeking"
"845","fronted",0.149616463,1.420067542,"fronted","info-seeking"
"22","fronted",0.036366146,-24.68246767,"fronted","info-seeking"
"80","fronted",0.078747322,16.84174143,"fronted","info-seeking"
"1397","fronted",0.104160245,51.06787969,"fronted","info-seeking"
"176","fronted",0.04322316,-10.26386321,"fronted","info-seeking"
"588","fronted",0.123755446,28.75141793,"fronted","info-seeking"
